SL,Horsename,Win,Place
1,Bertinelli(USA),3.8,2.3
2,Gallerist(FR),SCR,SCR
3,Tagabawa(GB),7.4,2.9
4,Struth(IRE),18,5.9
5,Desert Hero(GB),22,5.7
6,Perfuse(GB),11,3.9
7,Wonder Legend(IRE),9.6,2.9
8,Davideo(GB),17,4.7
9,Crackovia(GB),41,9.0
10,Burglar(GB),8.0,3.1
11,Valiant King(GB),16,5.4
12,Mr Mistoffelees(IRE),43,7.6
13,Duke Of Oxford(GB),75,14
14,Lieber Power(GB),73,13
15,Land Legend(FR),9.3,2.5
16,Inquiring Minds(GB),48,11
17,Sisyphus Strength(GB),47,9.3
18,Cloudbreaker(GB),32,10
19,Double March(IRE),51,11
20,Greysful Storm(IRE),70,15
21(R),Maasai Mara(GB),SCR,SCR
22(R),Chillhi(IRE),SCR,SCR
SL,Horsename,Win,Place
1,Mysterious Night(IRE),7.9,2.8
2,The Antarctic(IRE),4.3,2.9
3,Age Of Kings(IRE),43,8.3
4,Alexander John(IRE),24,6.9
5,Covey(GB),4.2,2.2
6,Empty Metaphor(IRE),9.8,3.6
7,Enfjaar(IRE),7.8,2.4
8,Flight Plan(GB),28,6.4
9,Holguin(GB),25,5.3
10,Holloway Boy(GB),21,4.6
11,Quar Shamar(GER),26,5.9
12,Streets Of Gold(IRE),34,6.2
13,Thunderbear(IRE),23,4.3
14,Zoology(GB),29,5.7
15,Olivia Maralda(IRE),16,4.2
