SL,Horsename,Win,Place
1,Big Call(USA),49,8.9
2,Broome(IRE),24,6.5
3,Coltrane(IRE),4.9,1.6
4,Lone Eagle(IRE),27,7.9
5,Nate The Great(GB),50,9.3
6,Subjectivist(GB),4.1,1.6
7,Tashkhan(IRE),SCR,SCR
8,Trueshan(FR),10,3.0
9,Wise Eagle(IRE),19,4.7
10,Yibir(GB),11,2.9
11,Courage Mon Ami(GB),9.5,3.0
12,Eldar Eldarov(GB),6.2,4.7
13,Echoes In Rain(FR),18,4.5
14,Emily Dickinson(IRE),10,3.5
SL,Horsename,Win,Place
1,Ardakan(GB),12,3.9
2,Changingoftheguard(IRE),5.7,2.5
3,Deauville Legend(IRE),10,3.3
4,Grand Alliance(IRE),11,3.5
5,Hukum(IRE),6.1,2.6
6,Pyledriver(GB),8.9,1.0
7,West Wind Blows(IRE),3.9,4.6
8,Free Wind(IRE),4.2,1.6
